id;name;cnpj;active;created_at;updated_at
1;frightfully;"63.274.086/8328-88";false;2025-03-05T21:56:27;2025-03-05T20:13:57
2;offer;"56.323.292/1088-45";true;2025-03-05T06:23:04;2025-03-05T15:55:20
3;sizzling;"50.518.696/3629-99";false;2025-03-05T18:16:21;2025-03-05T03:52:47
4;if phew provided;"49.542.807/9807-15";true;2025-03-06T02:34:47;2025-03-05T20:49:51
5;acclaim;"75.421.100/4586-34";false;2025-03-05T03:54:48;2025-03-05T20:16:11
6;zip;"75.615.327/2011-60";true;2025-03-05T18:08:50;2025-03-05T08:11:03
7;bitterly recklessly gregarious;"83.559.470/7566-49";false;2025-03-05T17:05:45;2025-03-05T23:57:18
8;usually;"68.574.571/8767-89";true;2025-03-05T18:26:29;2025-03-05T15:34:24
9;before;"30.675.789/4860-37";false;2025-03-05T17:35:42;2025-03-05T10:57:16
10;chargesheet ambassador;"08.881.023/3255-73";true;2025-03-05T22:55:02;2025-03-05T17:14:51
