id;presential_allowance_value;remote_allowance_value;full_time_threshold_hours;part_time_allowance_percentage;consider_work_distance;minimum_distance_to_receive;active;last_updated;company_id
1;17472.58;25069.31;30159.74;54;true;29097;true;2025-03-05T12:59:35;1
2;31024.41;2737.26;26372.89;43;false;24362;true;2025-03-05T12:11:34;2
3;21925.89;31411.97;11388.87;68;true;32543;true;2025-03-05T09:26:33;3
4;25427.03;22548.49;3742.13;4;true;12271;true;2025-03-05T19:42:55;4
5;15566.41;32156.49;9253.69;37;false;17270;true;2025-03-05T03:51:52;5
6;26481.92;21645.79;10115.99;8;false;27213;true;2025-03-06T01:47:51;6
7;30352.79;1216.84;22593.3;93;false;23383;false;2025-03-05T08:20:57;7
8;109.28;11943.85;29586.73;18;true;4748;true;2025-03-05T22:53:34;8
9;7805.86;22066.18;30479.68;33;true;13655;true;2025-03-05T03:34:15;9
10;4244.66;11168.64;18323.69;34;false;27865;true;2025-03-05T18:37:30;10
