id;daily_work_hours;weekly_work_hours;overtime_normal_rate;overtime_special_rate;last_updated
1;25664.81;22665.83;1725.26;12162.39;2025-03-05T22:25:25
2;28830.43;629.96;7097.68;25578.09;2025-03-05T08:21:53
3;1458.94;5160.15;27813.06;9488.55;2025-03-05T02:49:57
4;12074.28;32204.8;6990.87;25816.73;2025-03-05T04:59:00
5;22361.83;434.3;1086.1;18971.51;2025-03-05T18:27:45
6;23057.23;29077.42;31563.48;19466.63;2025-03-05T23:39:00
7;11517.72;677.58;18554.04;21964.7;2025-03-05T23:07:00
8;23672.57;21217.92;15012.41;24671.54;2025-03-05T09:19:40
9;1447.95;29772.68;27286.03;8705.87;2025-03-05T13:13:24
10;4885.84;18491.43;13714.95;11940.94;2025-03-05T22:14:15
