id;start_time;end_time;type;overtime_category;description;hours_worked;timesheet_id
1;2025-03-05T21:07:29;2025-03-05T19:48:00;BREAK;NORMAL;chair after;25873.32;1
2;2025-03-05T08:54:20;2025-03-05T20:40:07;REGULAR;NORMAL;positively;17208.16;2
3;2025-03-05T10:40:42;2025-03-05T12:27:41;OVERTIME;SPECIAL;membrane;26904.48;3
4;2025-03-05T14:57:03;2025-03-05T16:16:03;LUNCH;NORMAL;acidly but;9368.98;4
5;2025-03-05T09:29:35;2025-03-05T05:34:57;BREAK;SPECIAL;fooey delayed;32587.29;5
6;2025-03-06T02:17:54;2025-03-05T13:52:08;BREAK;SPECIAL;striking;2885.38;6
7;2025-03-05T12:20:50;2025-03-05T06:39:02;BREAK;NORMAL;snowball what astride;29003.89;7
8;2025-03-05T12:15:47;2025-03-05T20:21:07;REGULAR;SPECIAL;neat;12696.62;8
9;2025-03-05T12:47:49;2025-03-05T04:06:57;OVERTIME;SPECIAL;opossum unless;15170.88;9
10;2025-03-05T06:54:14;2025-03-05T19:16:20;OVERTIME;SPECIAL;next;22349.07;10
